Unnamed__0_level_0_Player,Unnamed__1_level_0_Nation,Unnamed__2_level_0_Pos,Unnamed__3_level_0_Age,Unnamed__4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed__17_level_0_Matches
Sofiane Djeffal,fr FRA,MF,26-104,16.6,6,0,0,29,12,0,53,20,19,,,0,Matches
Marcus Epps,us USA,MF,30-187,16.5,1,0,0,11,8,0,46,7,11,,,0,Matches
Kieran Sargeant,us USA,DF,22-098,15.5,3,0,0,13,13,4,34,9,13,,,0,Matches
Kendall Burks,us USA,DF,25-287,16.4,4,0,0,15,11,0,1,12,11,,,0,Matches
Joe Hafferty,us USA,DF,27-123,15.3,4,0,0,22,17,0,14,11,26,,,0,Matches
Nicolas Firmino,us USA,"MF,FW",24-173,14.8,3,0,0,17,19,1,6,11,14,,,0,Matches
Logan Ketterer,us USA,GK,31-255,11.0,2,0,0,0,2,0,0,0,0,,,0,Matches
Devon Williams,jm JAM,MF,33-105,10.5,2,0,0,5,6,0,2,5,5,,,0,Matches
Forster Ajago,gh GHA,"FW,MF",23-340,7.9,1,0,0,12,14,5,1,0,1,,,0,Matches
Michael Adedokun,ng NGA,MF,24-056,7.6,3,1,1,8,16,4,43,6,4,,,0,Matches
Cory Burke,jm JAM,FW,33-206,6.3,1,0,0,19,13,1,1,0,7,,,0,Matches
Alfredo Midence,hn HON,MF,23-023,5.8,1,0,0,10,11,0,26,4,9,,,0,Matches
Brooks Thompson,us USA,GK,23-055,6.0,0,0,0,0,2,0,0,0,0,,,0,Matches
Xavier Zengue,us USA,DF,24-123,4.8,1,0,0,7,0,0,4,7,3,,,0,Matches
Braudílio Pina,pt POR,"MF,FW",25-249,5.3,1,0,0,9,14,1,4,2,1,,,0,Matches
Danny Barbir,us USA,DF,27-172,5.1,0,0,0,2,3,1,4,3,0,,,0,Matches
Gaël Gibert,fr FRA,DF,24-356,6.2,0,0,0,8,9,0,1,9,5,,,1,Matches
Jacob Greene,us USA,DF,22-121,3.6,2,0,0,10,3,1,2,3,4,,,0,Matches
Jack Beer,us USA,"MF,FW",26-037,2.2,1,0,0,1,1,0,1,0,1,,,0,Matches
Eliot Goldthorp,eng ENG,MF,24-161,3.6,0,0,0,7,9,1,27,5,7,,,0,Matches
Cameron Lancaster,eng ENG,FW,32-259,2.4,1,0,0,7,5,0,0,0,0,,,0,Matches
Edrey Caceres,us USA,MF,24-054,1.0,0,0,0,1,0,0,0,0,4,,,0,Matches
Daniel Wu,us USA,DF,24-262,0.7,2,1,1,5,1,0,0,1,1,,,0,Matches
Hugo-Hilaire Mbongue Mbongue,ca CAN,FW,20-363,0.5,0,0,0,1,1,0,0,0,0,,,0,Matches
Christopher Olney,us USA,MF,18-218,0.4,0,0,0,1,1,0,1,0,0,,,0,Matches
Christian Volesky,ar ARG,FW,32-310,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Squad Total,,,26.6,17.0,39,2,2,220,192,19,271,115,146,,,1,
Opponent Total,,,27.0,17.0,29,1,0,199,212,23,267,125,199,,,1,
